title,datePerformed,location,featured,videoLink
Sweet Nothing/Hoax,2024-06-28,"Dublin, Ireland",-,-
The Albatross/Dancing With Our Hands Tied,2024-06-29,"Dublin, Ireland",-,-
This Love/Ours,2024-06-29,"Dublin, Ireland",-,-
Clara Bow/The Lucky One,2024-06-30,"Dublin, Ireland",-,-
"You're On Your Own, Kid",2024-06-30,"Dublin, Ireland",-,-
Guilty As Sin?/Untouchable,2024-07-04,"Amsterdam, Netherlands",-,-
The Archer/Question...?,2024-07-04,"Amsterdam, Netherlands",-,-
imgonnagetyouback/Dress,2024-07-05,"Amsterdam, Netherlands",-,-
You Are In Love/Cowboy Like Me,2024-07-05,"Amsterdam, Netherlands",-,-
Sweeter Than Fiction/Holy Ground,2024-07-06,"Amsterdam, Netherlands",-,-
Mary's Song (Oh My My My)/So High School/Everything Has Changed,2024-07-06,"Amsterdam, Netherlands",-,-
Right Where You Left Me/All You Had To Do Was Stay,2024-07-09,"Zürich, Switzerland",-,-
Last Kiss/Sad Beautiful Tragic,2024-07-09,"Zürich, Switzerland",-,
"Closure/A Perfectly Good Heart","2024-07-10","Zürich, Switzerland",-,-
"Robin/Never Grow Up","2024-07-10","Zürich, Switzerland",-,-
"The 1/Wonderland","2024-07-13","Milan, Italy",-,-
"I Almost Do/The Moment I Knew","2024-07-13","Milan, Italy",-,-
"Mr. Perfectly Fine/Red","2024-07-14","Milan, Italy",-,-
"Getaway Car/Out of the Woods","2024-07-14","Milan, Italy",-,-
"Superstar/Invisible String","2024-07-17","Gelsenkirchen, Germany",-,-
-"Slut!-/False God","2024-07-17","Gelsenkirchen, Germany",-,-
"Speak Now/Hey Stephen","2024-07-18","Gelsenkirchen, Germany",-,-
"This Is Me Trying/Labyrinth","2024-07-18","Gelsenkirchen, Germany",-,-
"Paper Rings/Stay Stay Stay","2024-07-19","Gelsenkirchen, Germany",-,-
"it's time to go/Better Man","2024-07-19","Gelsenkirchen, Germany",-,-
"Teardrops On My Guitar/The Last Time","2024-07-23","Hamburg, Germany",-,-
"We Were Happy/Happiness","2024-07-23","Hamburg, Germany",-,-
"The Last Great American Dynasty/Run","2024-07-24","Hamburg, Germany",-,-
"Nothing New/Dear Reader","2024-07-24","Hamburg, Germany",-,-
